Sheet Product name,DB Product name,Sheet Variant name,DB Variant name,Sheet SKU,DB SKU,Match score,Match type,Notes
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 7in,7 in / Chakras,MI-SB-HM-ET-C-7,MI-SB-HM-ET-C-7,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 8in,8 in / Chakras,MI-SB-HM-ET-C-8,MI-SB-HM-ET-C-8,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 9in,9 in / Chakras,MI-SB-HM-ET-C-9,MI-SB-HM-ET-C-9,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 10in,10 in / Chakras,MI-SB-HM-ET-C-10,MI-SB-HM-ET-C-10,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 12in,12 in / Chakras,MI-SB-HM-ET-C-12,MI-SB-HM-ET-C-12,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Chakras / 13in,13 in / Chakras,MI-SB-HM-ET-C-13,MI-SB-HM-ET-C-13,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Dorje / 8in,8 in / Dorje,MI-SB-HM-ET-DJ-8,MI-SB-HM-ET-DJ-8,98.9,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Flower of Life / 8in,8 in / Flower of Life,MI-SB-HM-ET-FL-8,MI-SB-HM-ET-FL-8,99.4,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 6in,6 in / Om,MI-SB-HM-ET-OM-6,MI-SB-HM-ET-OM-6,98.5,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 7in,7 in / Om,MI-SB-HM-ET-OM-7,MI-SB-HM-ET-OM-7,98.5,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 8in,8 in / Om,MI-SB-HM-ET-OM-8,MI-SB-HM-ET-OM-8,98.5,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 9in,9 in / Om,MI-SB-HM-ET-OM-9,MI-SB-HM-ET-OM-9,98.5,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 10in,10 in / Om,MI-SB-HM-ET-OM-10,MI-SB-HM-ET-OM-10,98.7,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 12in,12 in / Om,MI-SB-HM-ET-OM-12,MI-SB-HM-ET-OM-12,98.7,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Om / 13in,13 in / Om,MI-SB-HM-ET-OM-13,MI-SB-HM-ET-OM-13,98.7,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Tara / 8in,8 in / Tara,MI-SB-HM-ET-T-8,MI-SB-HM-ET-T-8,98.8,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Yin Yang / 8in,8 in / Yin Yang,MI-SB-HM-ET-YY-8,MI-SB-HM-ET-YY-8,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 6in,6 in / Mantra,MI-SB-HM-ET-M-6,MI-SB-HM-ET-M-6,99,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 7in,7 in / Mantra,MI-SB-HM-ET-M-7,MI-SB-HM-ET-M-7,99,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 8in,8 in / Mantra,MI-SB-HM-ET-M-8,MI-SB-HM-ET-M-8,99,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 9in,9 in / Mantra,MI-SB-HM-ET-M-9,MI-SB-HM-ET-M-9,99,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 10in,10 in / Mantra,MI-SB-HM-ET-M-10,MI-SB-HM-ET-M-10,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 12in,12 in / Mantra,MI-SB-HM-ET-M-12,MI-SB-HM-ET-M-12,99.1,sku_exact_text_diff,Variant name differs
Etched Handmade Singing Bowls,Etched Handmade Singing Bowls,Mantra / 13in,13 in / Mantra,MI-SB-HM-ET-M-13,MI-SB-HM-ET-M-13,99.1,sku_exact_text_diff,Variant name differs
Extra Large Meridian Singing Bowls,Extra Large Meridian Singing Bowls,Etched / 20in,20 in / Etched,MI-SB-ME-ET-20,MI-SB-ME-ET-20,99.1,sku_exact_text_diff,Variant name differs
Extra Large Meridian Singing Bowls,Extra Large Meridian Singing Bowls,Etched / 22in,22 in / Etched,MI-SB-ME-ET-22,MI-SB-ME-ET-22,99.1,sku_exact_text_diff,Variant name differs
Extra Large Meridian Singing Bowls,Extra Large Meridian Singing Bowls,Etched / 23in,23 In / Etched,MI-SB-ME-ET-23,MI-SB-ME-ET-23,97.2,sku_exact_text_diff,Variant name differs
Extra Large Meridian Singing Bowls,Extra Large Meridian Singing Bowls,Etched /24in,24 in / Etched,MI-SB-ME-ET-24,MI-SB-ME-ET-24,98.1,sku_exact_text_diff,Variant name differs
