slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
bendo-shaker1,Bendo Shaker,"",ACTIVE,VARIABLE,"",standard,19,13,"","",3,1,4,1,12,0,0,false
bird-flute,Bird Flute,45754,ACTIVE,VARIABLE,"",gst-5,822,822,"","",5,5,0,7,20,0,3,false
box-tanpura,Box Tanpura,45384,ACTIVE,VARIABLE,"",gst12,1238,1395,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/male-tanpura.mp3,2,5,0,7,8,0,4,false
brain-tuner-set-harmonize-your-mind-s-natural-rhythms,Brain Tuner Set – Harmonize Your Mind’s Natural Rhythms,48421,DRAFT,VARIABLE,"",gst18,425,1660,"","",6,1,0,7,0,0,0,false
caxixi,Caxixi,42317,ACTIVE,SIMPLE,"",gst-5,0,760,"","",1,6,0,7,4,0,0,false
c-g-tuning-forks,C&G Tuning Forks,48318,ACTIVE,VARIABLE,"",standard,490,558,"","",2,1,0,7,8,0,0,false
classic-morchang-set,Classic Morchang Set,48653,ACTIVE,VARIABLE,"",standard,725,2768,"","",4,1,0,7,16,0,0,false
coconut-maracas-shakers,Coconut Maracas Shakers,7370,ACTIVE,VARIABLE,"",gst-5,28,493,"","",2,9,0,7,8,0,3,false
coconut-rattle,Coconut Rattle,5730,ACTIVE,SIMPLE,"",gst-5,0,484,"","",1,7,0,7,4,0,0,false
conscious-cards,Conscious Cards,45533,ACTIVE,SIMPLE,"",standard,1239,1239,"","",1,10,0,7,4,0,4,false
copper-bottle-gift-set-7-chakra,Copper Bottle Gift Set - 7 Chakra,6638,ACTIVE,VARIABLE,"",gst-5,701,701,"","",2,11,0,7,8,0,6,false
copper-tongue-cleaner,Copper Tongue Cleaner,5042,ACTIVE,VARIABLE,"",gst-5,0,387,"","",6,14,0,7,24,0,0,false
course-checkout-nada-yoga,Nada Yoga- Primordial Sound Meditation,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,57,"","",1,1,0,0,0,0,0,true
course-checkout-qigong-fundamentals,Root & Breath – Qigong Fundamentals & Body Awakening,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,71,"","",1,1,0,0,0,0,0,true
course-checkout-rhythmic-foundations,Rhythmic Foundations for Sound Practitioners,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,63,"","",1,1,0,0,0,0,0,true
course-checkout-sonic-odyssey-workshop-across-india,Sonic Odyssey Workshop- Across India,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,55,"","",1,1,0,0,0,0,0,true
course-checkout-sound-alchemy-online,Introduction to the Art & Science of Sound Therapy & Nada Yoga - Online Course,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,97,"","",1,1,0,0,0,0,0,true
course-checkout-sound-healing-course,Sound Healing Course,"",ACTIVE,DIGITAL,"",gst-5,0,39,"","",1,1,0,0,0,0,0,true
course-checkout-sound-healing-course-1,Sound Healing Course,"",ACTIVE,DIGITAL,"",gst-5,0,39,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-bangalore,Sound Healing and Therapy Fundamentals Weekend Residential Workshop Nov 30 to Dec 1 – Bangalore,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,114,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-bangalore-3,Sound Therapy & Nada Yoga Workshop - Bangalore,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,65,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-delhi,"Sound Healing and Therapy Fundamentals Workshop, October 19 to 20 - Delhi","",ACTIVE,DIGITAL,"",gst-zero-rate,0,92,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-fundamentals,Sound Therapy Fundamentals,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,45,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-fundamentals-online,Sound Therapy Fundamentals,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,45,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-goa,Sound Therapy Workshop – Goa,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,47,"","",1,1,0,0,0,0,0,true
course-checkout-sound-therapy-mumbai,Sound Healing and Therapy Fundamentals Workshop 9-10 November – Mumbai,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,89,"","",1,1,0,0,0,0,0,true
course-checkout-yoga-therapy-course,Yoga Therapy Course,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,38,"","",1,1,0,0,0,0,0,true
crescent-zafu-cushion-compact,Crescent Zafu Cushion - Compact,47508,ACTIVE,VARIABLE,"",gst18,1169,1200,"","",5,1,0,7,20,0,4,false
crescent-zafu-cushion-wide,Crescent Zafu Cushion - Wide,47494,ACTIVE,VARIABLE,"",gst18,1150,1150,"","",3,1,0,7,12,0,4,false
crescent-zafu-meditation-cushion,Crescent Zafu Meditation Cushion,6734,DRAFT,VARIABLE,"",gst-5,0,973,"","",10,20,10,7,40,0,4,false
crystal-bowl-bag,Crystal Bowl Bag,47081,ACTIVE,VARIABLE,"",standard,287,1862,"","",3,1,0,7,12,0,0,false
crystal-bowl-mallets,Crystal Bowl Mallets,49604,DRAFT,VARIABLE,"",gst-5,108,1090,"","",3,1,3,7,0,0,0,false
crystal-bowl-o-rings-support-rings,Crystal Bowl O Rings (Support Rings),49760,DRAFT,VARIABLE,"",gst-5,0,1341,"","",4,1,0,7,0,0,0,false
crystal-bowls,Crystal Bowls,9777,ACTIVE,VARIABLE,"",gst18,0,691,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Crystal-Bowl-6-inch.mp3,9,3,9,7,36,0,1,false
