action_group,product_slug,product_name,db_variant_name,sheet_variant_name,db_sku,sheet_sku,action_needed,variant_axis_order
exact_variant_name,mayura-morchang-set,Mayura Morchang Set,Full Set,Full Set,MI-MM-SET,MI-MO-MY-SET3,update_sku,
exact_variant_name,mayura-morchang-set,Mayura Morchang Set,Middle,Middle,MI-MM-M,MI-MO-MY-M,update_sku,
exact_variant_name,mayura-morchang-set,Mayura Morchang Set,Sharp,Sharp,MI-MM-S,MI-MO-MY-S,update_sku,
exact_variant_name,root-chakra-singing-bowl,Root Chakra Singing Bowl,,,MI-SB-RC,MI-SB-RC,none,
exact_variant_name,s-shaped-didgeridoo,S-Shaped Didgeridoo,Blue,Blue,MI-DG-S-B,MI-DG-SS-B,update_sku,
exact_variant_name,s-shaped-didgeridoo,S-Shaped Didgeridoo,Green,Green,MI-DG-S-G,MI-DG-SS-G,update_sku,
exact_variant_name,s-shaped-didgeridoo,S-Shaped Didgeridoo,Red,Red,MI-DG-S-R,MI-DG-SS-R,update_sku,
exact_variant_name,singing-bowl-with-mantra-rustic-blue-colour,Singing Bowl with Mantra - Rustic Blue Colour,6 inches,6 inches,MI-SB-RB-6,MI-SB-RB-6,none,
exact_variant_name,singing-bowl-with-mantra-rustic-blue-colour,Singing Bowl with Mantra - Rustic Blue Colour,7 Inches,7 Inches,MI-SB-RB-7,MI-SB-RB-7,none,
exact_variant_name,spin-twist-drum-or-den-den-daiko,Spin/Twist Drum or Den Den Daiko,Large 3.5 in,Large 3.5 in,MI-TD-YY,MI-SD-L,update_sku,
exact_variant_name,spin-twist-drum-or-den-den-daiko,Spin/Twist Drum or Den Den Daiko,Small 3 in,Small 3 in,MI-TD-RB,MI-SD-S,update_sku,
exact_variant_name,spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,Green,Green,MI-DG-SP-G,MI-DG-SP-G,none,
exact_variant_name,spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,Red,Red,MI-DG-SP-R,MI-DG-SP-R,none,
exact_variant_name,stainless-steel-straws,Stainless Steel Straws,pack-of-2,pack-of-2,SSS-2,SSS-2,none,
exact_variant_name,stainless-steel-straws,Stainless Steel Straws,pack-of-4,pack-of-4,SSS-4,SSS-4,none,
exact_variant_name,swinging-chimes,Swinging Chimes,6 Bars,6 Bars,MI-SC-6,MI-SC-6,none,
exact_variant_name,swinging-chimes,Swinging Chimes,9 Bars,9 Bars,MI-SC-9,MI-SC-9,none,
exact_variant_name,teak-wood-stainless-steel-xylophone,Teak Wood - Stainless Steel Xylophone,15 Keys,15 Keys,MI-XP-TW-15,MI-XY-TW-15,update_sku,
exact_variant_name,teak-wood-stainless-steel-xylophone,Teak Wood - Stainless Steel Xylophone,8 Keys,8 Keys,MI-XP-TW-8,MI-XY-TW-8,update_sku,
exact_variant_name,the-four-bowl-set-root-heart-third-eye-and-universal,"The Four Bowl Set - Root, Heart, Third Eye and Universal",,,MI-SB-4B-SET,MI-SB-RHTU-SET4,update_sku,
exact_variant_name,the-three-bowl-set-root-heart-and-third-eye,"The Three Bowl Set - Root, Heart and Third Eye",,,MI-SB-3B-SET,MI-SB-RHT-SET3,update_sku,
exact_variant_name,third-eye-chakra-singing-bowl,Third Eye Chakra Singing Bowl,,,MI-SB-TEC,MI-SB-TEC,none,
exact_variant_name,triad-crystal-bowl-set,Triad Crystal Bowl Set,CEG,CEG,CB-CEG-BG,MI-CB-CEG,update_sku,
exact_variant_name,triad-crystal-bowl-set,Triad Crystal Bowl Set,DFA,DFA,CB-DFA-BG,MI-CB-DFA,update_sku,
exact_variant_name,triad-crystal-bowl-set,Triad Crystal Bowl Set,EGB,EGB,CB-EGB-BG,MI-CB-EGB,update_sku,
exact_variant_name,tuning-fork-activators,Tuning Fork Activators,Activator,Activator,MI-TF-A,MI-TF-A,none,
exact_variant_name,tuning-fork-activators,Tuning Fork Activators,Activator & Mallet,Activator & Mallet,MI-TF-A-M,MI-TF-AM,update_sku,
exact_variant_name,tuning-fork-activators,Tuning Fork Activators,Mallet,Mallet,MI-TF-M,MI-TF-M,none,
exact_variant_name,tuning-fork-extensions,Tuning Fork Extensions,Circuit Boot,Circuit Boot,MI-TF-E-CB,MI-TF-CB,update_sku,
exact_variant_name,tuning-fork-extensions,Tuning Fork Extensions,Extender,Extender,MI-TF-E-E,MI-TF-EX,update_sku,
exact_variant_name,tuning-fork-extensions,Tuning Fork Extensions,Massage Boot,Massage Boot,MI-TF-E-MB,MI-TF-MB,update_sku,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Blue,Blue,MI-TF-GF-B,MI-TF-GF-B,none,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Dark Blue,Dark Blue,MI-TF-GF-DG,MI-TF-GF-DB,update_sku,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Full Set,Full Set,MI-TF-GF-SET,MI-TF-GF-SET7,update_sku,
exact_variant_name,tuning-forks-gem-feet,Tuning Forks Gem Feet,Green,Green,MI-TF-GF-G,MI-TF-GF-G,none,
