sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
Yo-BR-R-GY,Round Yoga Bolster,Grey,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-BR-R-M,Round Yoga Bolster,Maroon,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-BR-R-NB,Round Yoga Bolster,Navy Blue,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-BR-R-O,Round Yoga Bolster,Orange,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-BR-R-RE,Round Yoga Bolster,Rose,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-BR-R-RP,Round Yoga Bolster,Rogue Pink,541.0,round-yoga-bolster,1550.0,1755.0,ACTIVE,False
Yo-P-E-RE-1,Eye Shaped Natural Lavender Scented Eye Pillows,Rose,175.0,eye-shaped-natural-lavender-scented-eye-pillows,395.0,525.0,ACTIVE,False
Yo-P-E-DG-1,Eye Shaped Natural Lavender Scented Eye Pillows,Dark Grey,175.0,eye-shaped-natural-lavender-scented-eye-pillows,395.0,525.0,ACTIVE,False
Yo-P-E-GY-1,Eye Shaped Natural Lavender Scented Eye Pillows,Grey,175.0,eye-shaped-natural-lavender-scented-eye-pillows,395.0,525.0,ACTIVE,False
Yo-P-E-NB-1,Eye Shaped Natural Lavender Scented Eye Pillows,Navy Blue,175.0,eye-shaped-natural-lavender-scented-eye-pillows,395.0,525.0,ACTIVE,False
Yo-P-E-SE-1,Eye Shaped Natural Lavender Scented Eye Pillows,Sage,175.0,eye-shaped-natural-lavender-scented-eye-pillows,395.0,525.0,ACTIVE,False
Me-CZ-C-DG,Crescent Zafu Cushion - Compact,Dark Grey,445.0,crescent-zafu-cushion-compact,1085.0,1450.0,ACTIVE,False
Me-CZ-C-MB,Crescent Zafu Cushion - Compact,Misty Blue,445.0,crescent-zafu-cushion-compact,1085.0,1450.0,ACTIVE,False
Me-CZ-C-L,Crescent Zafu Cushion - Compact,Lavender,445.0,crescent-zafu-cushion-compact,1085.0,1450.0,ACTIVE,False
Me-CZ-C-S,Crescent Zafu Cushion - Compact,Sage,445.0,crescent-zafu-cushion-compact,1085.0,1450.0,ACTIVE,False
Me-CZ-C-RE,Crescent Zafu Cushion - Compact,Rose,445.0,crescent-zafu-cushion-compact,1085.0,1450.0,ACTIVE,False
