product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Brown;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Brown;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Brown;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Brown;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Brown;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-Bn-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Brown;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-CO-3,false,ACTIVE,89500,79500,1230,1030,"",0,size=Combo of 3,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-CO-5,false,ACTIVE,174500,164500,2225,1925,"",0,size=Combo of 5,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-CO-7,false,ACTIVE,245000,224500,3025,2625,"",0,size=Combo of 7,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-10,true,ACTIVE,31900,24500,620,550,"",1,colour=Green;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Green;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Green;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Green;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Green;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Green;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-G-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Green;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Navy Blue;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Navy Blue;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Navy Blue;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Navy Blue;size=16 cms,4
