id,slug,name,type,sku,parent,has_options,prices_currency,variation_count,image_count,short_desc_len,desc_len,permalink
5763,tingsha-bell,Tingsha Bell,variable,,0,True,INR,6,11,616,11,https://sarveda.com/store/sound-musical-instruments/singing-bowls-bells/tingsha-bell/
5740,dumroo-medium-size,Dumru/Dumroo Indian Handmade Percussion Instrument,variable,,0,True,INR,2,1,657,0,https://sarveda.com/store/sound-musical-instruments/indian-classical/dumroo-medium-size/
5730,coconut-rattle,Coconut Rattle,simple,MI-CR,0,False,INR,0,7,491,0,https://sarveda.com/store/sound-musical-instruments/kids/coconut-rattle/
5713,handheld-coconut-shaker,Handheld Natural Coconut Shaker,simple,MI-CS-H,0,False,INR,0,11,489,0,https://sarveda.com/store/sound-musical-instruments/kids/handheld-coconut-shaker/
5688,copper-bottle-hammered-copper-set,Hammered Copper Bottle,variable,,0,True,INR,2,7,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-hammered-copper-set/
5682,copper-bottle-black-with-7-chakras-vintage,7 Chakras Vintage &#8211; Copper Bottle,variable,,0,True,INR,4,7,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-black-with-7-chakras-vintage/
5675,copper-bottle-with-7-chakras-plain,7 Chakras Gold &#8211; Copper Bottle,variable,,0,True,INR,4,8,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-with-7-chakras-plain/
5669,copper-bottle-orange-light,Sunshine within Me,variable,,0,True,INR,4,8,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-orange-light/
5663,copper-bottle-pink-noble-toughts,Pink &#038; Positive,variable,,0,True,INR,4,9,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-pink-noble-toughts/
5495,copper-bottle-curved-vintage-hammered,Curved Hammered Copper Bottles,variable,,0,True,INR,2,7,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-curved-vintage-hammered/
5489,copper-bottle-vintage-plain-curved,Curved Copper Bottles,variable,,0,True,INR,4,9,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-vintage-plain-curved/
5466,copper-bottle-with-brush-tattvamasi,Tattvamasi-I am Infinite,variable,,0,True,INR,4,6,517,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-with-brush-tattvamasi/
5459,copper-bottle-with-brush-true-happiness-lies-within,Happiness is Inside,variable,,0,True,INR,4,7,695,0,https://sarveda.com/store/yoga-and-meditation/bottles-accessories/copper-bottle-with-brush-true-happiness-lies-within/
5042,copper-tongue-cleaner,Copper Tongue Cleaner,variable,TC-R-1,0,True,INR,6,14,398,0,https://sarveda.com/store/eco-living-sustainable/personal-care/copper-tongue-cleaner/
