sheet_name,demo_name,demo_slug,demo_status,match_how
Singing Bowl with Mantra - Rustic Blue Colour,singing-bowl-with-mantra-rustic-blue-colour,Singing Bowl with Mantra - Rustic Blue Colour,ACTIVE,exact_name
Singing Bowls Silk Ring Cushion Accessories,singing-bowls-silk-ring-cushion-accessories,Singing Bowls Silk Ring Cushion Accessories,ACTIVE,exact_name
Singing Bowls with Sacred Mantra Printed,singing-bowls-with-sacred-mantra-printed,Singing Bowls with Sacred Mantra Printed,ACTIVE,exact_name
Spin/Twist Drum or Den Den Daiko,spin-twist-drum-or-den-den-daiko,Spin/Twist Drum or Den Den Daiko,ACTIVE,exact_name
Spiral/Snake Didgeridoo,spiral-snake-didgeridoo,Spiral/Snake Didgeridoo,ACTIVE,exact_name
Stainless Steel Straws,stainless-steel-straws,Stainless Steel Straws,ACTIVE,exact_name
Swinging Chimes,swinging-chimes,Swinging Chimes,ACTIVE,exact_name
Teak Wood - Stainless Steel Xylophone,teak-wood-stainless-steel-xylophone,Teak Wood - Stainless Steel Xylophone,ACTIVE,exact_name
Tibetan Buddhist Bell,tibetan-buddhist-bell,Tibetan Buddhist Bell,ACTIVE,exact_name
Tounge Cleaner,copper-tongue-cleaner,Copper Tongue Cleaner,ACTIVE,sku
Tuning Fork - Single Weighted & Unweighted,tuning-fork-single-weighted-unweighted,Tuning Fork - Single Weighted & Unweighted,ACTIVE,exact_name
"Vibroacoustic Therapy Bowls - Universal, Belly and Head",vibroacoustic-therapy-bowls-universal-belly-and-head,"Vibroacoustic Therapy Bowls - Universal, Belly and Head",ACTIVE,exact_name
Wooden Mallets for Singing Bowls,wooden-mallets-for-singing-bowls,Wooden Mallets for Singing Bowls,ACTIVE,exact_name
Yoga Belt/Strap for Sturdy Grip,yoga-belt-strap-for-sturdy-grip,Yoga Belt/Strap for Sturdy Grip,ACTIVE,exact_name
Yoga Blanket made from Organic Cotton,yoga-blanket-made-from-organic-cotton,Yoga Blanket made from Organic Cotton,ACTIVE,exact_name
Zabuton Cushion for Meditation,zabuton-cushion-for-meditation,Zabuton Cushion for Meditation,ACTIVE,exact_name
Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,zafu-zabuton-meditation-cushion-combo-lotus-embroidery,Zafu & Zabuton Meditation Cushion Combo - Lotus Embroidery,ACTIVE,exact_name
Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,zafu-meditation-cushion-lotus-embroidery-filled-with-cotton,Zafu Meditation Cushion Lotus - Embroidery Filled with Cotton,ACTIVE,exact_name
Zafu Meditation Cushion Plain Filled with Cotton,zafu-meditation-cushion-plain-filled-with-cotton,Zafu Meditation Cushion Plain Filled with Cotton,ACTIVE,exact_name
